Evaluation Type,Model,Accuracy,Precision,Recall,F1,Macro-F1,Weighted-F1,ROC-AUC,Test Samples,Notes
Internal benchmark,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,Support Vector Machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,Naive Bayes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,CatBoost,1.0,1.0,1.0,1.0,1.0,1.0,,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,MLP / DNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization."
Internal benchmark,Majority Vote,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization. Hybrid components: SVM + Logistic Regression + Naive Bayes."
Internal benchmark,Confidence Weighted Hybrid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization. Hybrid components: SVM + Logistic Regression + Naive Bayes."
Internal benchmark,Rank Weighted Hybrid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,"5-fold stratified CV on the labelled training dataset. The dataset contains only 5 unique statements repeated across 200 rows, so this benchmark is duplicate-affected and is not evidence of unseen-contract generalization. Hybrid components: SVM + Logistic Regression + Naive Bayes."
Proxy external evaluation,Logistic Regression,0.245,0.16363636363636364,0.198,0.13276544656766762,0.13276544656766762,0.21874598024783112,0.48397340476190476,3000,"Proxy external evaluation using unique risk-library statements. The 30 risk-library categories are mapped to five broad ML categories using a predefined mapping. Exact training-statement overlap is removed. These are proxy/reference labels, not expert-validated ground truth."
Proxy external evaluation,Support Vector Machine,0.245,0.16363636363636364,0.198,0.13276544656766762,0.13276544656766762,0.21874598024783112,0.4848751825396825,3000,"Proxy external evaluation using unique risk-library statements. The 30 risk-library categories are mapped to five broad ML categories using a predefined mapping. Exact training-statement overlap is removed. These are proxy/reference labels, not expert-validated ground truth."
Proxy external evaluation,Random Forest,0.15666666666666668,0.0967670330457198,0.164,0.06888144905142073,0.06888144905142073,0.091395541820471,0.461132242063492,3000,"Proxy external evaluation using unique risk-library statements. The 30 risk-library categories are mapped to five broad ML categories using a predefined mapping. Exact training-statement overlap is removed. These are proxy/reference labels, not expert-validated ground truth."
Proxy external evaluation,Naive Bayes,0.215,0.15393356643356643,0.23400000000000004,0.12022550351599026,0.12022550351599026,0.19341401364601643,0.47981296296296294,3000,"Proxy external evaluation using unique risk-library statements. The 30 risk-library categories are mapped to five broad ML categories using a predefined mapping. Exact training-statement overlap is removed. These are proxy/reference labels, not expert-validated ground truth."
